x,y,cluster,id,kmeans_cluster,document
73.86209106483484,0.32376393528931086,purple,id1,3,The field of programming is at the forefront of technological innovation and offers endless opportunities for exploration.
50.688845098467404,21.37193989211989,blue,id2,2,"The landscape of career development is constantly evolving, demanding adaptability and continuous learning."
1.1915734830653537,68.37776070812373,red,id3,1,The nature's beauty is breathtaking and offers a tranquil retreat from the hustle of daily life.
-1.2014531840902771,66.96050313373144,red,id4,1,"Walking through the river, one can't help but feel a deep connection to the earth."
68.7351812428699,-0.710942667072161,purple,id5,3,Understanding cybersecurity is crucial for solving complex problems and advancing our digital world.
72.2267857508063,-3.485158686812232,purple,id6,3,Understanding machine learning is crucial for solving complex problems and advancing our digital world.
19.724916570242566,52.58997494708238,green,id7,0,Spending time traveling is a wonderful way to recharge and enjoy life's simple pleasures.
19.84897116236989,50.52852548131708,green,id8,0,"Whether it's hiking, engaging in hobbies is essential for a balanced lifestyle."
51.838900603088675,21.820292925693693,blue,id9,2,Advancing in your industry trends requires dedication and a willingness to embrace new challenges.
3.192975396828862,68.72247588103947,red,id10,1,"Walking through the wildlife, one can't help but feel a deep connection to the earth."
20.10628255767723,52.107607175561185,green,id11,0,Spending time hiking is a wonderful way to recharge and enjoy life's simple pleasures.
69.26609381360062,5.178494108473092,purple,id12,3,Understanding data analysis is crucial for solving complex problems and advancing our digital world.
20.366338125662242,52.47166052703286,green,id13,0,Spending time traveling is a wonderful way to recharge and enjoy life's simple pleasures.
52.33922206262906,20.78735486882529,blue,id14,2,"The landscape of industry trends is constantly evolving, demanding adaptability and continuous learning."
19.228814546970064,43.86843142788847,green,id15,0,"Whether it's traveling, engaging in hobbies is essential for a balanced lifestyle."
70.76972321664141,5.086342329560276,purple,id16,3,The field of machine learning is at the forefront of technological innovation and offers endless opportunities for exploration.
71.01808368342294,0.40674607441406047,purple,id17,3,Understanding data analysis is crucial for solving complex problems and advancing our digital world.
48.78171205948217,17.857406698765374,blue,id18,2,Advancing in your work-life balance requires dedication and a willingness to embrace new challenges.
-0.20431968258937952,67.7174147491271,red,id19,1,The nature's beauty is breathtaking and offers a tranquil retreat from the hustle of daily life.
72.05951292670912,-0.3774009501267846,purple,id20,3,The field of data analysis is at the forefront of technological innovation and offers endless opportunities for exploration.
47.62611307280922,18.9187233194069,blue,id21,2,Advancing in your work-life balance requires dedication and a willingness to embrace new challenges.
-2.070995751004091,69.14735924198085,red,id22,1,The river is breathtaking and offers a tranquil retreat from the hustle of daily life.
0.7415758906342457,70.91050751997244,red,id23,1,"Walking through the nature's beauty, one can't help but feel a deep connection to the earth."
52.1253091222483,20.525769311380603,blue,id24,2,"The landscape of professional growth is constantly evolving, demanding adaptability and continuous learning."
18.84634378362597,49.16799009633335,green,id25,0,"Whether it's cooking, engaging in hobbies is essential for a balanced lifestyle."
51.493637702539274,23.6736093125306,blue,id26,2,Advancing in your industry trends requires dedication and a willingness to embrace new challenges.
71.05186895821973,-1.678643177599436,purple,id27,3,The field of software development is at the forefront of technological innovation and offers endless opportunities for exploration.
20.674234474474478,48.885639006700146,green,id28,0,Spending time hiking is a wonderful way to recharge and enjoy life's simple pleasures.
1.543498324600638,71.48304696708868,red,id29,1,The river is breathtaking and offers a tranquil retreat from the hustle of daily life.
48.43528289062214,17.567468619202373,blue,id30,2,Advancing in your industry trends requires dedication and a willingness to embrace new challenges.
-0.6010693423457099,72.01678240293691,red,id31,1,The nature's beauty is breathtaking and offers a tranquil retreat from the hustle of daily life.
52.03092982336448,21.254771605113874,blue,id32,2,"The landscape of career development is constantly evolving, demanding adaptability and continuous learning."
19.4163997878543,50.05998490683184,green,id33,0,"Whether it's gardening, engaging in hobbies is essential for a balanced lifestyle."
18.68296947260014,53.68889742387919,green,id34,0,"Whether it's cooking, engaging in hobbies is essential for a balanced lifestyle."
71.57971107770823,3.458556516196555,purple,id35,3,The field of programming is at the forefront of technological innovation and offers endless opportunities for exploration.
68.62416155028761,0.5227011758312057,purple,id36,3,The field of cybersecurity is at the forefront of technological innovation and offers endless opportunities for exploration.
47.089019567359166,18.342558664169317,blue,id37,2,"The landscape of career development is constantly evolving, demanding adaptability and continuous learning."
